IRI	Label	Issue
http://purl.obolibrary.org/obo/LABO_0000115	directed by	not an RO property
http://purl.obolibrary.org/obo/LABO_0000116	directs	not an RO property
http://purl.obolibrary.org/obo/LABO_0000118	has minimal value	not an RO property
http://purl.obolibrary.org/obo/LABO_0000119	has maximal value	not an RO property
http://purl.obolibrary.org/obo/LABO_0000148	x@fr	not an RO property
