IRI	Label	Issue
http://www.w3.org/ns/prov#qualifiedQuotation	qualifiedquotation	not an RO property
http://www.w3.org/ns/prov#qualifiedRevision	qualifiedrevision	not an RO property
http://www.w3.org/ns/prov#qualifiedStart	qualifiedstart	not an RO property
http://www.w3.org/ns/prov#qualifiedUsage	qualifiedusage	not an RO property
http://www.w3.org/ns/prov#specializationOf	specializationof	not an RO property
http://www.w3.org/ns/prov#used	used	not an RO property
http://www.w3.org/ns/prov#wasAssociatedWith	wasassociatedwith	not an RO property
http://www.w3.org/ns/prov#wasAttributedTo	wasattributedto	not an RO property
http://www.w3.org/ns/prov#wasDerivedFrom	wasderivedfrom	not an RO property
http://www.w3.org/ns/prov#wasEndedBy	wasendedby	not an RO property
http://www.w3.org/ns/prov#wasGeneratedBy	wasgeneratedby	not an RO property
http://www.w3.org/ns/prov#wasInfluencedBy	wasinfluencedby	not an RO property
http://www.w3.org/ns/prov#wasInformedBy	wasinformedby	not an RO property
http://www.w3.org/ns/prov#wasInvalidatedBy	wasinvalidatedby	not an RO property
http://www.w3.org/ns/prov#wasQuotedFrom	wasquotedfrom	not an RO property
http://www.w3.org/ns/prov#wasRevisionOf	wasrevisionof	not an RO property
http://www.w3.org/ns/prov#wasStartedBy	wasstartedby	not an RO property
http://purl.obolibrary.org/obo/IAO_0000004	has measurement value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000404	has x coordinate value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000405	has z coordinate value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000406	has y coordinate value	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000041	citation text	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000042	confidence interval value	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000043	contact text	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000044	custom_text	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000045	documentation	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000046	model card text	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000047	name text	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000048	overview	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000049	performance metric value	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000050	sensitive data	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000051	slice	not an RO property
http://purl.obolibrary.org/obo/MCRO_0000052	threshold value	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000043	has documentation	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000046	has download location	not an RO property
http://www.ebi.ac.uk/swo/maturity/SWO_9000068	has release date	not an RO property
http://www.w3.org/2004/02/skos/core#notation	notation	not an RO property
http://www.w3.org/ns/prov#atTime	attime	not an RO property
http://www.w3.org/ns/prov#endedAtTime	endedattime	not an RO property
http://www.w3.org/ns/prov#generatedAtTime	generatedattime	not an RO property
http://www.w3.org/ns/prov#invalidatedAtTime	invalidatedattime	not an RO property
http://www.w3.org/ns/prov#startedAtTime	startedattime	not an RO property
http://www.w3.org/ns/prov#value	value	not an RO property
