IRI	Label	Issue
http://purl.obolibrary.org/obo/chebi#has_functional_parent	has functional parent	not an RO property
http://purl.obolibrary.org/obo/chebi#has_major_microspecies_at_pH_7_3	has major microspecies at ph 7.3	not an RO property
http://purl.obolibrary.org/obo/chebi#has_parent_hydride	has parent hydride	not an RO property
http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	is conjugate acid of	not an RO property
http://purl.obolibrary.org/obo/chebi#is_conjugate_base_of	is conjugate base of	not an RO property
http://purl.obolibrary.org/obo/chebi#is_enantiomer_of	is enantiomer of	not an RO property
http://purl.obolibrary.org/obo/chebi#is_substituent_group_from	is substituent group from	not an RO property
http://purl.obolibrary.org/obo/chebi#is_tautomer_of	is tautomer of	not an RO property
