IRI	Label	Issue
http://purl.obolibrary.org/obo/po#derives_by_manipulation_from	derives_by_manipulation_from	not an RO property
http://purl.obolibrary.org/obo/po#isolated_from_germplasm	isolated from germplasm	not an RO property
